,Intents,Lumi Output,Correct Output,Equal
36,Internet is limited to 3 Mbps per host,"define intent buildIntent: for endpoint('gateway'), endpoint('hosts') set bandwidth('max', '3', 'mbps')","define intent buildIntent: for endpoint('host') set bandwidth('max', '3', 'mbps')",True
37,P2P application is separately capped at 30 Mbps for the entire campus,"define intent buildIntent: for endpoint('campus'), traffic('torrent') set bandwidth('max', '30', 'mbps')","define intent buildIntent: for traffic('peer2peer'), endpoint('campus') set bandwidth('max', '30', 'mbps')",True
38,Guests' network is rate-limited to 5 Mb/s per user,"define intent buildIntent: for group('guests'), group('network') set bandwidth('max', '5', 'mbps')","define intent buildIntent: for group('guests') set bandwidth('max', '5', 'mbps')",True
39,The ResNet cap is currently 200 gigabytes per each 7 day period of combined incoming and outgoing traffic,"define intent buildIntent: for group('dorms') set quota('any', '200', 'gigabytes per each')","define intent buildIntent: for group('dorms') set quota('any', '200', 'gb/wk')",True
40,These network security changes include blocking traffic from the Internet into the UW network over FTP,define intent buildIntent: from endpoint('gateway') to endpoint('UW network') block protocol('ftp'),define intent buildIntent: from endpoint('internet') to endpoint('network') block protocol('ftp'),True
41,"Elements of network security currently include the following four solutions: Network Border Infrastructure System, Intrusion Prevention System, Firewalls and Custom Unit Firewalls","define intent buildIntent: for endpoint('network') add middlebox('network border system'), middlebox('ips'), middlebox('Firewalls'), middlebox('Custom Unit Firewalls')","define intent buildIntent: for endpoint('network') add middlebox('network border system'), middlebox('ips'), middlebox('firewall'), middlebox('unit firewall')",True
42,ACT/IT Infrastructure monitors traffic on the network for the purpose of maintaining proper network function,define intent buildIntent: for endpoint('network') add middlebox('monitors traffic'),define intent buildIntent: for endpoint('network') add middlebox('traffic monitor'),True
43,"CIS restricts traffic that is known to cause damage to the network or hosts on it, such as NETBIOS",define intent buildIntent: for endpoint('network') block service('NETBIOS'),define intent buildIntent: for endpoint('network') block service('NETBIOS'),True
44,All network traffic passing in or out of Brown's network is monitored by intrusion detection system for signs of compromises,"define intent buildIntent: for endpoint('network'), endpoint('Brown's network') add middlebox('ids')",define intent buildIntent: for endpoint('network') add middlebox('traffic monitor'),True
45,"You may not run any services (e.g., FTP services,listservers,P2P file sharing servers, publishing files via generic file services, etc.) via ResNet or NYURoam wireless networks","define intent buildIntent: for endpoint('dorms'), endpoint('wireless') block service('services,listservers,P2P') traffic('file sharing servers') protocol('ftp')","define intent buildIntent: for endpoint('dorms'), endpoint('wireless') block protocol('ftp'), service('listserver'), traffic('peer2peer')",True
46,Housing does not normally limit the amount of bandwidth,define intent buildIntent: for endpoint('dorms') unset bandwidth(),define intent buildIntent: for endpoint('dorms') unset bandwidth(),True
47,"The UVA More Secure Network uses a firewall, a network security device designed to help protect your computer from hackers and other malicious people on the Internet.",define intent buildIntent: for endpoint('Network') add middlebox('firewall'),define intent buildIntent: for endpoint('network') add middlebox('firewall'),True
48,"The network firewall does prevent some applications from working in their normal manner, for example, video and audio conferencing products that use the H.323",define intent buildIntent: for endpoint('network') block traffic('H323 video conferencing') add middlebox('firewall'),define intent buildIntent: for endpoint('network') block traffic('H323 video conferencing'),False
49,The UC Davis network is continually scanned for prohibited activities and network threats.,define intent buildIntent: for endpoint('network')  add middlebox('traffic monitor'),define intent buildIntent: for endpoint('network') add middlebox('traffic monitor'),True
